country,population,cgdp00,rgdpl00,rgdpch00,rgdpeqa00,rgdpwok00,rgdptt00
689065,31193.92,5753.12,5753.12,5753.12,6935.65,16661.23,5753.12
658271,37497.73,11331.96,11331.96,11331.96,13176.7,27980.14,11331.96
658583,19071.46,25834.54,25834.54,25834.54,28897.7,50606.35,25834.54
658584,8096.25,26999.77,26999.77,26999.77,29443.58,58441.05,26999.77
667283,290.07,19088.04,19088.04,19088.04,22403.81,37107.39,19088.04
667282,634.14,18652.15,18652.15,18652.15,21713.8,39846.51,18652.15
668266,273.89,16086,16086,16086,17953.12,29178.31,16086
666976,10303.88,24661.91,24661.91,24661.91,27011.95,59873.55,24661.91
667690,247.01,6014.45,6014.45,6014.45,7489.97,17140.06,6014.45
666978,6428.4,1251.47,1251.47,1251.47,1621.08,2768.75,1251.47
668478,2005.22,828.16,828.16,828.16,1043.03,1717.82,828.16
667976,8152.62,2929.19,2929.19,2929.19,3652.35,7195.25,2929.19
668765,1577.74,7256.45,7256.45,7256.45,9019.82,16616.55,7256.45
668265,175552.77,7193.6,7193.6,7193.6,8443.19,15470.1,7193.6
668278,336.38,25111.92,25111.92,25111.92,29771.1,55618.88,25111.92
667065,12217.36,933.21,933.21,933.21,1231.15,1962.17,933.21
666873,5713.71,698.84,698.84,698.84,919.53,1328.35,698.84
757277,31278.1,513.91,513.91,513.91,645.21,1052.01,513.91
677782,14791.63,2471.73,2471.73,2471.73,3146.69,6022.73,2471.73
676578,30689.04,26820.73,26820.73,26820.73,29652.55,49815.63,26820.73
678086,401.34,4983.36,4983.36,4983.36,6340.15,12250.14,4983.36
676570,3501.49,945.1,945.1,945.1,1205.49,2005.31,945.1
846768,8418.86,829.51,829.51,829.51,1083.61,1809.96,829.51
677276,15153.8,11430.19,11430.19,11430.19,13275.48,27994.58,11430.19
677278,1262474.3,4001.82,4001.82,4001.82,4568.29,6688.66,4001.82
677976,39685.65,6079.68,6079.68,6079.68,7272.34,14053.81,6079.68
677977,578.4,1358.78,1358.78,1358.78,1732.03,2898.42,1358.78
677971,2809.48,1286.19,1286.19,1286.19,1676.91,3150.11,1286.19
906582,51809.83,359.15,359.15,359.15,469.78,884.6,359.15
678273,3710.56,8341.47,8341.47,8341.47,9912.62,20596.22,8341.47
677386,15865.6,2171.66,2171.66,2171.66,2771.74,5325.3,2171.66
678566,11134.27,5698.62,5698.62,5698.62,6370.73,11493.78,5698.62
678980,758.36,20456.78,20456.78,20456.78,23062.89,41629.59,20456.78
687875,5339.61,27827.28,27827.28,27827.28,30663.67,50448.3,27827.28
687977,8353.52,6497.37,6497.37,6497.37,7875.6,15008.93,6497.37
696785,12920.09,4314.44,4314.44,4314.44,5210.68,11025.92,4314.44
697189,70492.34,4535.83,4535.83,4535.83,5528.13,11939.54,4535.83
837686,6122.52,4732.13,4732.13,4732.13,5756.85,10992.17,4732.13
717881,474.21,6494.54,6494.54,6494.54,8315.67,15729.08,6494.54
698472,62651.4,725.37,725.37,725.37,938.98,1642.58,725.37
707473,832.49,4571.95,4571.95,4571.95,5485.24,11481.54,4571.95
707378,5176.53,22740.69,22740.69,22740.69,25003.5,45192.14,22740.69
708265,59278.01,25044.54,25044.54,25044.54,27612.5,55285.96,25044.54
716566,1222.94,10438.83,10438.83,10438.83,13205.35,23140.83,10438.83
717766,1367.12,953.86,953.86,953.86,1201.33,1859.37,953.86
716982,82344.43,25061.34,25061.34,25061.34,27181.5,51010.26,25061.34
717265,19509.24,1392.2,1392.2,1392.2,1753.4,2826.8,1392.2
718267,10975.02,13982.39,13982.39,13982.39,15132.45,32069.69,13982.39
718477,12820.3,3859.47,3859.47,3859.47,4951.21,10608.76,3859.47
717378,8641.97,2546.12,2546.12,2546.12,3262.17,5130.21,2546.12
717866,1278.26,762.4,762.4,762.4,995.3,1666.81,762.4
728473,7177.11,2069.29,2069.29,2069.29,2594.72,4796.68,2069.29
727868,6200.9,2239.66,2239.66,2239.66,2829.63,5975.6,2239.66
727571,7115.62,27236.15,27236.15,27236.15,29685.18,50288.32,27236.15
728578,10225.75,11382.95,11382.95,11382.95,12433.59,23788.82,11382.95
738376,281.27,25794.63,25794.63,25794.63,29195.96,45710.84,25794.63
737868,1002708.29,2643.85,2643.85,2643.85,3187.28,6033.43,2643.85
736878,224138.44,3771.86,3771.86,3771.86,4442.71,7799.55,3771.86
738278,66005.87,6045.53,6045.53,6045.53,7336.8,17594.66,6045.53
738281,22675.62,2445.35,2445.35,2445.35,3109.15,8853.54,2445.35
738276,3801.38,24947.55,24947.55,24947.55,27983.8,59103.42,24947.55
738382,5842.45,22236.9,22236.9,22236.9,25902.04,51882.64,22236.9
738465,57714.84,22487.21,22487.21,22487.21,24218.86,50853.04,22487.21
746577,2652.69,4520.84,4520.84,4520.84,5414.18,9072.52,4520.84
748078,127034.1,23970.56,23970.56,23970.56,25858.21,44563.23,23970.56
747982,4998.56,3901.84,3901.84,3901.84,4856.05,12239.14,3901.84
756978,30310.24,1267.72,1267.72,1267.72,1626.32,2458.24,1267.72
808275,21647.68,1378.95,1378.95,1378.95,1589.57,2688.54,1378.95
757982,46779.22,15702.27,15702.27,15702.27,17524.85,30620.65,15702.27
758784,1973.57,25135.37,25135.37,25135.37,28891.23,59647.29,25135.37
766579,5497.73,1257.35,1257.35,1257.35,1598.66,2528.86,1257.35
768379,1846.83,1833.9,1833.9,1833.9,2302.45,4317.09,1833.9
766682,3149,472.44,472.44,472.44,617.16,1174.05,472.44
768588,435.23,48217.27,48217.27,48217.27,53278.75,114448.78,48217.27
776567,431.34,24224.41,24224.41,24224.41,27264.38,46495.98,24224.41
776871,15506.47,822.88,822.88,822.88,1060.42,1721.87,822.88
778773,10873.59,838.99,838.99,838.99,1091.01,1742.45,838.99
778983,21793.29,11405.5,11405.5,11405.5,13716.78,26868.09,11405.5
776886,301.48,4530.14,4530.14,4530.14,5800.44,10742.58,4530.14
777673,10665.38,1046.72,1046.72,1046.72,1380.9,2137.91,1046.72
777684,391.67,18862.84,18862.84,18862.84,20958.71,49625.98,18862.84
778284,2667.86,1521.48,1521.48,1521.48,1940.67,3436.05,1521.48
778583,1179.37,15121.01,15121.01,15121.01,17340.6,34617.69,15121.01
776988,100087.9,8082.09,8082.09,8082.09,9719.89,19621.49,8082.09
777871,2600.84,1500.78,1500.78,1500.78,1820.23,2935.8,1500.78
776582,30122.35,3720.05,3720.05,3720.05,4465.84,9434.56,3720.05
777990,17672.63,1093.18,1093.18,1093.18,1403.31,2086.22,1093.18
786577,1826.28,5268.55,5268.55,5268.55,6737.28,13314.51,5268.55
788076,24702.12,1421.01,1421.01,1421.01,1786.31,3011.89,1421.01
657884,210.13,14014.4,14014.4,14014.4,15998.18,30625.88,14014.4
787668,15897.51,26293.09,26293.09,26293.09,28973.1,56690.57,26293.09
789076,3818.2,20422.92,20422.92,20422.92,23063.71,40976.96,20422.92
787367,4812.57,3437.85,3437.85,3437.85,4351.71,8801.46,3437.85
786982,10173.66,807.45,807.45,807.45,1069.48,1748.87,807.45
787165,123749.59,1073.93,1073.93,1073.93,1388.4,2709.21,1073.93
787982,4502.17,33092.15,33092.15,33092.15,36769.06,63909.14,33092.15
797778,2533.39,16193.18,16193.18,16193.18,19808.17,57038.33,16193.18
806575,141553.77,2477.13,2477.13,2477.13,3121.78,6718.55,2477.13
806578,2836.3,7934.8,7934.8,7934.8,9440.57,18798.39,7934.8
807871,4926.98,4354.58,4354.58,4354.58,5494.73,9055.06,4354.58
808289,5585.83,4965.41,4965.41,4965.41,6191.29,13149.93,4965.41
806982,27012.9,4204.5,4204.5,4204.5,5080.97,11108.32,4204.5
807276,79739.82,3825.62,3825.62,3825.62,4708.45,9229.47,3825.62
807976,38649.33,8611,8611,8611,9525.45,16642.84,8611
808284,10225.09,17323.14,17323.14,17323.14,18849.99,34000.27,17323.14
808273,3815.89,21211.21,21211.21,21211.21,24062.64,55981.04,21211.21
816584,744.48,32260.65,32260.65,32260.65,37102.53,58305.9,32260.65
827977,22451.92,5211.11,5211.11,5211.11,5735.95,10908.75,5211.11
828765,7404.7,1018.07,1018.07,1018.07,1332.55,1873.86,1018.07
836585,22023.51,15826.52,15826.52,15826.52,19733.81,52825.49,15826.52
836978,9784.33,1571.37,1571.37,1571.37,2023.65,3542.31,1571.37
837669,5202.66,683.73,683.73,683.73,869.33,1845.92,683.73
837180,4151.72,29433.77,29433.77,29433.77,33034.54,58750.04,29433.77
837666,466.19,2012.59,2012.59,2012.59,2554.05,4039.72,2012.59
837977,7253.14,681.63,681.63,681.63,873.89,1592.6,681.63
906570,42351.35,8226.06,8226.06,8226.06,9881.16,19759.94,8226.06
698380,40717.22,19536.38,19536.38,19536.38,21074.84,44360.54,19536.38
767565,19238.58,4046.63,4046.63,4046.63,4656.65,8966.61,4046.63
836878,35079.81,1047.71,1047.71,1047.71,1313.75,2668.65,1047.71
838582,429.32,4753.42,4753.42,4753.42,5668.96,12453.29,4753.42
838790,1120.18,8517.03,8517.03,8517.03,10912.27,23043.91,8517.03
